branded_food_category,revised_food_category
Salad Dressing & Mayonnaise,Salad Dressing & Mayonnaise
Sandwiches/Filled Rolls/Wraps,Sandwiches/Filled Rolls/Wraps
Sandwiches/Filled Rolls/Wraps (Frozen),Sandwiches/Filled Rolls/Wraps
Sauces,Sauces/Spreads/Dips/Condiments
Sauces/Spreads/Dips/Condiments,Sauces/Spreads/Dips/Condiments
"Sausages, Hotdogs & Brats","Sausages, Hotdogs & Brats"
Savoury Bakery Products,"Cakes, Cupcakes, Snack Cakes"
"Seasoning Mixes, Salts, Marinades & Tenderizers",Seasonings/Preservatives/Extracts Variety Packs
Seasonings/Preservatives/Extracts Variety Packs,Seasonings/Preservatives/Extracts Variety Packs
Shellfish Prepared/Processed,Fish and Seafood
Shellfish Unprepared/Unprocessed,Fish and Seafood
Snack Foods - Cereal Snacks,Snack Foods - Cereal Snacks
Snack Foods - Chips,Snack Foods - Chips
Snack Foods - Multi Packs,Snack Foods - Multi Packs
Snack Foods - Other,Snack Foods - Other
"Snack, Energy & Granola Bars","Snack, Energy & Granola Bars"
Snacks,Snacks
Snacks Variety Packs,Snacks Variety Packs
Soda,Soda
Specialty Formula Supplements,Specialty Formula Supplements
Sport Drinks,Sport Drinks
Stuffing,Stuffing
Sugars/Sugar Substitute Products,Sugars/Sugar Substitute Products
Sushi,Fish and Seafood
Sweet Bakery Products,Sweet Bakery Products
Syrups & Molasses,Syrups & Molasses
Tea Bags,Tea Bags
Tomatoes,Tomatoes
Vegetable & Cooking Oils,Vegetable & Cooking Oils
Vegetable and Lentil Mixes,Vegetable and Lentil Mixes
Vegetable Based Products / Meals,Vegetable Based Products / Meals
Vegetables  Prepared/Processed,Vegetables – Prepared/Processed
Vegetables - Prepared/Processed,Vegetables – Prepared/Processed
Vegetables – Prepared/Processed,Vegetables – Prepared/Processed
Vegetarian Frozen Meats,Vegetarian Frozen Meats
Water,Water
Wholesome Snacks,Wholesome Snacks
Wrapped Snacks - Cereal,Snack Bars
Wrapped Snacks - Fruit Bars,Snack Bars
Wrapped Snacks - Muesli Bars,Snack Bars
Wrapped Snacks - Nut Bars,Snack Bars
Yogurt,Yogurt
Yogurt (Perishable),Yogurt
Yogurt/Yogurt Substitutes,Yogurt
